,,,,,,,,,,,,,,,,
"//!","Linux distribution timeline data sheet, Chinese versions",,,,,,,,,,,,,,,
"//!","# = comment, N = node, C = connector, D = domain",,,,,,,,,,,,,,,
"//!","SVG = SVG image to include, PNG = PNG image to include",,,,,,,,,,,,,,,
"//!",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"#","Nodes",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"#","Name","Color","Parent","Start","Stop","Icon","Description","[Namechange","When","Description","[Namechange","When","Description",". . . ]]",,
"N","Debian","#bf1238",,"1993.8.16",,"images/debian.svg","https://distroware.gitlab.io/os/Linux/d/debian",,,,,,,,,
"N","Ubuntu","#e95420","Debian","2004.10.20",,,"https://distroware.gitlab.io/os/Linux/u/ubuntu",,,,,,,,,
,,,,,,,,,,,,,,,,
"N","Red Hat","#cc0000",,"1994.11.3",,"images/Red_Hat_Logo_2019-en.svg","https://distroware.gitlab.io/os/Linux/r/red-hat","Red Hat Enterprise","2002.3.26","https://distroware.gitlab.io/os/Linux/r/red-hat",,,,,,
"N","Fedora Core","#362e94","Red Hat","2003.11.6",,,"https://distroware.gitlab.io/os/Linux/f/fedora","Fedora","2007.5.31","https://distroware.gitlab.io/os/Linux/f/fedora",,,,,,
"N","CentOS","#6f4376","Red Hat","2003.12.1",,,"https://distroware.gitlab.io/os/Linux/c/centos",,,,,,,,,
,,,,,,,,,,,,,,,,
"N","AOSP","#a4c639",,"2007.11.5",,,"https://distroware.gitlab.io/os/Linux/LinuxAndroid/a/android",,,,,,,,,
"N","Android-x86","#1DA066","AOSP","2009.09.1",,,"https://distroware.gitlab.io/os/Linux/LinuxAndroid/a/android-x86",,,,,,,,,
"N","Android-IA","#006ECA","AOSP","2012.08.29","2018.10.02",,"https://distroware.gitlab.io/os/Linux/LinuxAndroid/a/android-ia",,,,,,,,,
,,,,,,,,,,,,,,,,
"N","Ubuntu Kylin／优麒麟","#347DC4","Ubuntu","2013.4.26",,,"https://distroware.gitlab.io/os/Linux/u/ubuntu-kylin",,,,,,,,,
"N","Miracle","#e34043","Red Hat","2000.8",,,"https://distroware.gitlab.io/os/Linux/m/miracle",,,,,,,,,
"N","Asianux（中科红旗软件联合日韩）","#000","Miracle","2004.6",,,"https://distroware.gitlab.io/os/Linux/a/asianux",,,,,,,,,
"N","Linpus／百资","#afafaf","Red Hat","2000.1.28",,,"https://distroware.gitlab.io/os/Linux/l/linpus",,,,,,,,,
"N","Hiweed Linux ","#15A7E5","Ubuntu","2006.09.25","2015.12.30",,"https://distroware.gitlab.io/os/Linux/d/deepin","Linux Deepin","2009.12.02","https://distroware.gitlab.io/os/Linux/d/deepin","Deepin","2014.04.15","https://distroware.gitlab.io/os/Linux/d/deepin","deepin／深度","2015.04.28","https://distroware.gitlab.io/os/Linux/d/deepin"
"N","deepin／深度","#15A7E5","Debian","2015.12.30",,,"https://distroware.gitlab.io/os/Linux/d/deepin",,,,,,,,,
"N","Xteam Linux／冲浪 Linux","#646e9b",,"1999.4.8","2004",,,
"N","Bluepoint Linux／蓝点 Linux","#4b68be",,"1999.7","2002",,,
"N","Red Flag／中科红旗","#e34043","Red Hat","1999.8","2014.2.10",,"https://distroware.gitlab.io/os/Linux/r/red-flag",,,,,,,,,
"N","COSIX Linux／中标 Linux","#FF7A7A","Red Hat","1999.11",,,"https://distroware.gitlab.io/os/Linux/c/cosix-linux","NeoShine Linux／中标普华 Linux","2004.2","https://zh.wikipedia.org/wiki/%E4%B8%AD%E6%A0%87%E9%BA%92%E9%BA%9F","NeoKylin／中标麒麟","2010.12.16","https://zh.wikipedia.org/wiki/%E4%B8%AD%E6%A0%87%E9%BA%92%E9%BA%9F"
"N","openKylin／开放麒麟","#e2e544","Ubuntu","2022.6.24",,,,
"N","Ylmf OS","#e690b0","Ubuntu","2009.12.24","2014",,,"StartOS／起点","2012.8.08","https://www.startos.org/",
"N","OMS（Open Mobile System，中国移动主导）","#0085d0","AOSP","2008","2011",,,
"N","UPhone","#e60122",,"2010","2014",,,"沃Phone（中国联通主导）","2011.2.28",,
"N","阿里云OS","#ff6600","AOSP","2009.9.13",,,,"YunOS","2013.3.02","https://www.yunos.com/","AliOS","2017.9.28","https://www.alios.cn/",
"N","百度·易","#2857ff","AOSP","2011.9","2015",,,"百度云ROM","2012.6",,"百度云OS","2014.9",,
"N","腾讯 TencentOS（TOS）","#04aafe","AOSP","2015.3.3","2017.6.28",,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"#","Connectors",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"#","Leaving 'To When' empty will result in using 'From When' as this value",,,,,,,,,,,,,,,
"#","From When","From","To When","To","Thickness","Color",,,,,,,,,,
"C","2004.6","Red Flag／中科红旗",,"Asianux（中科红旗软件联合日韩）","4","#e34043",,,,,,,,,,
"C","2009","Fedora Core",,"Red Flag／中科红旗","2","#362e94",,,,,,,,,,
"C","2015.12.30","Hiweed Linux ",,"deepin／深度","4","#15A7E5",,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"#","Domains",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"#","Distribution","Color","Intensity",,,,,,,,,,,,,
"D","Debian","#bf1238","15",,,,,,,,,,,,,
"D","Red Hat","#cc0000","15",,,,,,,,,,,,,
